Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
262,11.341727,77.534455,8,Durgaiamman Kovil Veethi,Thatched (Hut),Open well,Yes,Open well,Personal RO,Yes,No/ Not known,Vegetables,Brinjal,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
263,11.343847,77.52356,9,Aathikkattur Kamarajar Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Nil,,Firewood,SS pot,No,Directly to ground,No,No
264,11.352737,77.516975,9,Masammavur Pomman Veethi,Thatched (Hut),Both,No,Open well,Nil,Yes,No/ Not known,"Ground nut, Other crops, Coconut",Vegetables,"Firewood, LPG",Aluminium pot,No,Farming/ Gardening,No,No
265,,,9,Thasamputhur Kotthukarar Veethi,Thatched (Hut),Open well,Yes,Open well,Personal RO,Yes,No/ Not known,Banana,Sugar cane,LPG,SS pot,No,Directly to ground,Yes,Yes
266,,,9,Thasamputhur Kotthukarar Veethi,Thatched (Hut),Both,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,Nil,Both market and garden,LPG,SS pot,No,Directly to ground,Yes,Yes
267,11.338861,77.526293,9,Masammavur Pomman Veethi,Thatched (Hut),Open well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Coconut, Vegetables, Corn","Ladies finger,corn",LPG,SS pot,No,Directly to ground,Yes,Yes
268,11.339476,77.526451,9,Thasamputhur Kotthukarar Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,No,,Corn,Sugar cane,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
269,11.334138,77.513032,9,Masammavur Pomman Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Other crops,No,LPG,SS pot,No,Farming/ Gardening,No,No
270,11.341761,77.520558,9,Masammavur Pomman Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Ground nut,No,LPG,Aluminium pot,No,Directly to ground,No,No
271,11.340543,77.526188,9,Thasamputhur Kotthukarar Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Other crops,No,LPG,SS pot,No,Directly to ground,No,No
272,11.34044,77.525257,9,Thasamputhur Kotthukarar Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Directly to ground,Yes,Yes
273,11.332991,77.518766,9,Masammavur Pomman Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Ground nut,,LPG,Pressure cooker,Yes,Directly to ground,No,No
274,11.341478,77.530234,9,Masammavur Pomman Veethi,Thatched (Hut),Open well,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,SS pot,Yes,Directly to ground,Yes,Yes
275,11.343381,77.523674,9,Aathikkattur Kamarajar Veethi,Thatched (Hut),Both,Yes,Bore well,Nil,Yes,Yes,"Other crops, Ground nut","Sugar cane, turmeric,tropica","LPG, Firewood",SS pot,No,Directly to ground,Yes,No
276,11.337213,77.519516,9,Masammavur Pomman Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Ground nut, Other crops, Vegetables","Ladies finger,brinjal","LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
277,11.337304,77.519467,9,Masammavur Pomman Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Vegetables, Ground nut, Other crops","Cotton,ladies finger, brinjal","LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
278,11.342757,77.51918,9,Masammavur Pomman Veethi,Thatched (Hut),Both,No,Panchyat water - Piped,Nil,Yes,Yes,"Ground nut, Vegetables, Other crops, Coconut",,"LPG, Firewood",Aluminium pot,No,Directly to ground,No,No
279,11.339347,77.520713,9,Masammavur Pomman Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,No,,Nil,,"LPG, Firewood",SS pot,No,Farming/ Gardening,No,No
280,,,10,Naduvalasu Kothukarar Veethi,Thatched (Hut),Open well,Yes,Open well,Boiling,Yes,No/ Not known,"Rice, Banana, Vegetables, Coconut",,LPG,Pressure cooker,No,Directly to ground,No,No
281,11.335042,77.542417,10,Naduvalasu Kothukarar Veethi,Thatched (Hut),Open well,Yes,Open well,Nil,Yes,Yes,Banana,Sugarcane,LPG,Pressure cooker,Yes,Directly to ground,Yes,Yes
282,11.340941,77.53687,10,Annamaar Veethi Main Road,Thatched (Hut),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,Nil,All vegetables,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
283,11.340274,77.542775,10,Annamaar Veethi Main Road,Thatched (Hut),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,Vegetables,All vegetables,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
284,11.336116,77.543133,10,Naduvalasu Kothukarar Veethi,Thatched (Hut),Nil,No,Panchayat water - Syntex tank,Boiling,No,,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
285,11.336705,77.540625,10,Naduvalasu Kothukarar Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Banana,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,No
286,11.336494,77.54385,10,Naduvalasu Kothukarar Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Banana,,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,No,No
287,11.340991,77.544314,11,Ricemill Puthur Colony,Thatched (Hut),Nil,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,Nil,,Firewood,Pressure cooker,No,Directly to ground,No,No
288,11.343465,77.544208,11,Ricemill Puthur Colony,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Corn,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
289,11.339835,77.540625,11,Ricemill Puthur Colony,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,Aluminium pot,No,Directly to ground,No,No
290,11.341067,77.544816,11,Ricemill Puthur Colony,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,No,,Nil,,"LPG, Firewood",Aluminium pot,No,Directly to ground,No,No
291,11.337931,77.544924,11,Ricemill Puthur Colony,Thatched (Hut),Nil,No,Panchyat water - Piped,Personal RO,No,,Nil,,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
292,11.341257,77.544525,11,Ricemill Puthur Colony,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Corn,,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
293,,,12,Naduvalasu Cashier Veethi,Thatched (Hut),Bore well,Yes,Bore well,Nil,Yes,No/ Not known,"Banana, Other crops",Sugar cane,"Gobar gas, LPG",SS pot,No,Farming/ Gardening,Yes,Yes
294,11.328777,77.525934,12,Manakkattu Puthur Pillaiyarkovil veethi,Thatched (Hut),Open well,No,Bore well,Nil,Yes,Yes,"Banana, Ground nut",,LPG,Pressure cooker,No,Farming/ Gardening,No,No
295,11.345536,77.54385,12,Ricemill Puthur Thottapaguthigal,Thatched (Hut),Open well,No,Open well,Boiling,Yes,Yes,"Coconut, Banana, Vegetables, Ground nut, Corn",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
296,11.336489,77.537704,12,Naduvalasu Cashier Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,No,,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
297,11.325656,77.550657,12,Manakkattu Puthur Pillaiyarkovil veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Coconut,,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
298,11.332986,77.543133,12,Naduvalasu Cashier Veethi,Thatched (Hut),Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
299,11.33622,77.537484,12,Naduvalasu Nehru Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Rice,No,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
300,,,12,Ricemill Puthur Thottapaguthigal,Thatched (Hut),Nil,No,Bore well,Boiling,Yes,No/ Not known,"Coconut, Banana",,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
301,11.352378,77.539822,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Both,Yes,Open well,Nil,Yes,Yes,"Banana, Coconut, Rice",,Gobar gas,Pressure cooker,No,Farming/ Gardening,Yes,Yes
302,11.351507,77.537042,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Both,Yes,Bore well,Nil,Yes,No/ Not known,"Vegetables, Rice, Coconut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
303,11.355676,77.5288,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Bore well,No,Bore well,Boiling,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
304,11.353605,77.529159,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Both,Yes,Bore well,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
305,11.355367,77.531452,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Both,Yes,Bore well,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
306,11.351507,77.537042,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Open well,No,Bore well,Boiling,Yes,No/ Not known,"Coconut, Banana, Ground nut",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
307,11.353575,77.53091,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Bore well,No,Canned water,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
308,11.349613,77.536541,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
309,11.341161,77.53095,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,"Coconut, Banana","Cane, avarai, brinjal",LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
310,11.351507,77.537042,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
311,11.350193,77.536488,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Both,Yes,Open well,Nil,Yes,Yes,"Coconut, Banana",Cane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
312,11.352674,77.53957,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Both,No,Open well,Nil,Yes,Yes,"Rice, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
313,11.344038,77.541342,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Both,No,Open well,Boiling,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
314,11.350153,77.532963,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,No/ Not known,"Rice, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
315,11.353098,77.532373,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,"Banana, Coconut","Cane, turmeric",LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
316,11.357139,77.534437,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Both,No,Open well,Nil,Yes,Yes,"Rice, Coconut, Banana, Other crops",Sugar cane,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
317,11.36785,77.5288,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,No,,"Rice, Vegetables, Coconut, Banana, Corn, Other crops, Ground nut",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
318,11.341719,77.527725,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,Yes,"Rice, Vegetables, Banana, Corn, Other crops",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
319,11.353605,77.529159,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,Coconut,Cane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
320,11.332639,77.543133,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana, Corn",,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,No
321,11.350859,77.538398,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Nil,No,Panchayat water - Syntex tank,Nil,Yes,No/ Not known,"Rice, Coconut, Banana, Other crops",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,No
322,11.336796,77.542775,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Open well,Yes,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Banana",Sugercane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
323,11.354868,77.531445,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Both,No,Bore well,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Other crops",,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
324,11.360638,77.53095,1,Pillaiyarkovil Veethi Thotta paguthigal,Tiled (Ottu),Both,Yes,Open well,Nil,Yes,Yes,"Coconut, Banana, Other crops",Stick yam,"LPG, Gobar gas",Pressure cooker,No,Farming/ Gardening,Yes,Yes
325,11.3529,77.539515,1,Kothukaraveethi Thotta paguthigal,Tiled (Ottu),Both,No,Open well,Nil,Yes,Yes,"Rice, Banana, Other crops","Turmeric,sugarcane","LPG, Gobar gas",Pressure cooker,No,Farming/ Gardening,Yes,Yes
326,11.359652,77.541873,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,Banana,,Firewood,Aluminium pot,No,Directly to ground,No,No
327,11.345763,77.5505,2,JJ Nagar Thottapaguthigal,Tiled (Ottu),Both,No,Panchyat water - Piped,Personal RO,Yes,No/ Not known,"Vegetables, Banana",Tomato,"Firewood, LPG",Pressure cooker,No,Directly to ground,Yes,Yes
328,11.349438,77.545641,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Nil,Yes,Open well,Nil,Yes,Yes,Nil,,"Gobar gas, LPG",Aluminium pot,No,Directly to ground,Yes,Yes
329,11.347392,77.554344,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Bore well,No,Bore well,Nil,Yes,No/ Not known,Corn,Corn,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
330,11.350681,77.538621,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,No,Bore well,Boiling,Yes,Yes,"Coconut, Banana",Sugar cane,LPG,Pressure cooker,No,Farming/ Gardening,No,No
331,11.352227,77.542945,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Both,Yes,Bore well,Nil,Yes,No/ Not known,"Rice, Corn",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
332,11.351016,77.540262,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Both,No,Bore well,Nil,Yes,No/ Not known,Coconut,,LPG,Pressure cooker,No,Farming/ Gardening,No,No
333,11.348936,77.53641,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Nil,No,Bore well,Boiling,Yes,Yes,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
334,,,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Bore well,Yes,Bore well,Nil,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
335,,,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,"Coconut, Banana, Ground nut",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
336,11.357474,77.540497,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,No/ Not known,"Rice, Banana, Coconut",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
337,,,2,JJ Nagar Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,Vegetables,Nil,LPG,SS pot,Yes,Farming/ Gardening,Yes,Yes
338,11.359195,77.545075,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,Yes,Rice,,LPG,Pressure cooker,No,Farming/ Gardening,No,No
339,11.355468,77.539281,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,Banana,,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
340,11.350558,77.542987,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Nil,No,Open well,Nil,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
341,11.349924,77.539133,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,No,Open well,Nil,No,,Nil,,LPG,SS pot,No,Directly to ground,No,No
342,11.357278,77.525575,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Both,Yes,Open well,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana, Other crops","Lady's finger , brinjal",LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
343,11.346534,77.552027,2,JJ Nagar Thottapaguthigal,Tiled (Ottu),Both,Yes,Panchayat water - Overhead tank,Boiling,Yes,Yes,"Coconut, Ground nut, Corn, Banana, Rice, Vegetables","Bitter gourd, corn, sugercane . Etc",LPG,Bronze pot,No,Farming/ Gardening,Yes,Yes
344,11.349872,77.538453,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
345,11.343465,77.544208,2,Kothukara Veethi Thottapaguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,Yes,"Nil, Coconut, Rice",,"LPG, Firewood",SS pot,No,Directly to ground,Yes,Yes
346,11.346764,77.549677,3,JJ Nagar,Tiled (Ottu),Bore well,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,Nil,Firewood,Aluminium pot,No,Directly to ground,Yes,No
347,11.336418,77.542058,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,No,Bore well,Nil,Yes,No/ Not known,"Coconut, Rice, Corn, Ground nut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
348,11.342529,77.546716,3,JJ Nagar,Tiled (Ottu),Bore well,No,Bore well,Nil,Yes,No/ Not known,Coconut,Coconut,LPG,SS pot,No,Directly to ground,Yes,Yes
349,11.342091,77.551372,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Bore well,Yes,Bore well,Nil,Yes,No/ Not known,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
350,11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Bore well,Nil,Yes,Yes,"Vegetables, Banana, Coconut",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
351,11.339638,77.547848,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Bore well,Nil,Yes,No/ Not known,"Vegetables, Banana, Coconut",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
352,11.34213,77.543306,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Bore well,Nil,Yes,No/ Not known,Banana,Banana,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
353,,,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,Yes,Nil,Market,LPG,SS pot,Yes,Farming/ Gardening,Yes,Yes
354,11.341916,77.551519,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,"Other crops, Ground nut",Cotton,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
355,11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,No
356,11.336454,77.545976,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Both,Yes,Open well,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
357,11.338455,77.545757,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,"Banana, Other crops",Potato,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
358,11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Both,Yes,Open well,Nil,Yes,No/ Not known,"Banana, Vegetables, Coconut, Ground nut, Corn",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
359,,,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Boiling,No,,Nil,Market,LPG,Earthern pot,No,Directly to ground,Yes,Yes
360,11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,No/ Not known,"Rice, Vegetables, Banana, Coconut, Corn, Ground nut",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
361,11.340404,77.529517,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,No,Open well,Nil,Yes,Yes,Vegetables,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
362,11.332986,77.543133,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,No,Open well,Boiling,Yes,Yes,"Banana, Coconut, Ground nut",,LPG,Pressure cooker,No,Directly to ground,Yes,No
363,,,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,No,Panchayat water - Overhead tank,Nil,No,,Nil,Market,LPG,SS pot,No,Directly to ground,Yes,Yes
364,11.346608,77.54997,3,JJ Nagar,Tiled (Ottu),Open well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Coconut,Coconut,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
365,,,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Bore well,Yes,Panchyat water - Piped,Nil,Yes,Yes,Nil,Market,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
366,11.341763,77.553013,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Vegetables, Rice, Coconut, Banana",,LPG,Aluminium pot,No,Farming/ Gardening,Yes,Yes
367,11.342952,77.543577,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Both,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Other crops,Suger cane,LPG,Aluminium pot,No,Farming/ Gardening,Yes,No
368,11.346484,77.549486,3,JJ Nagar,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Vegetables,No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
369,11.346707,77.549957,3,JJ Nagar,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
370,11.346095,77.540625,3,JJ Nagar,Tiled (Ottu),Bore well,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,Nil,Nil,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
371,,,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,Yes,Panchyat water - Piped,Personal RO,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
372,11.346476,77.549582,3,JJ Nagar,Tiled (Ottu),Nil,No,Panchyat water - Piped,Personal RO,No,,Nil,,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
373,,,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Open well,No,Panchyat water - Piped,Personal RO,No,,"Vegetables, Coconut, Banana",,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,Yes
374,11.34644,77.549725,3,JJ Nagar,Tiled (Ottu),Both,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Rice, Vegetables, Banana, Corn, Coconut, Ground nut",Ladies finger,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,No
375,,,3,Ricemill Puthur Thottapaguthigal,Tiled (Ottu),Nil,No,Panchyat water - Piped,Personal RO,No,,Nil,,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,Yes
376,11.341632,77.537607,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Vegetables,,Firewood,Earthern pot,No,Directly to soakpit/ sewage canal,No,No
377,11.342514,77.538252,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,Nil,No,Firewood,SS pot,No,Directly to soakpit/ sewage canal,No,No
378,11.342211,77.538069,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Open well,No,Panchyat water - Piped,Boiling,No,,Nil,,"Firewood, LPG",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
379,11.341416,77.537704,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Open well,No,Open well,Personal RO,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Cabbage,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,No,No
380,11.341385,77.537788,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Open well,No,Open well,Nil,No,,Vegetables,,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
381,,,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchayat water - Overhead tank,Nil,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
