Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
462,11.341161,77.53095,8,West Puthuthottam,Tiled (Ottu),Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Nil,,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
463,11.346931,77.5244,8,Old Thasamputhur,Tiled (Ottu),Open well,Yes,Bore well,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Ground nut",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
464,11.342128,77.527192,8,West Puthuthottam,Tiled (Ottu),Both,Yes,Bore well,Personal RO,Yes,Yes,"Rice, Vegetables, Ground nut, Corn, Banana","Brinjal,lady's finger, turmeric",LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
465,11.347276,77.524132,8,Old Thasamputhur,Tiled (Ottu),Open well,Yes,Open well,Boiling,Yes,Yes,"Rice, Banana, Vegetables, Other crops, Coconut","Lady's finger,bitter guard,snake guard.",LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
466,11.34389,77.528457,8,West Puthuthottam,Tiled (Ottu),Both,Yes,Open well,Nil,Yes,Yes,Coconut,Sugarcane,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
467,11.347294,77.524385,8,Old Thasamputhur,Tiled (Ottu),Nil,Yes,Open well,Nil,Yes,Yes,"Rice, Banana, Other crops, Coconut",Sugar cane,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
468,11.341649,77.534571,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,No/ Not known,"Vegetables, Ground nut, Other crops",Lady's finger,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
469,11.340989,77.533545,8,Pappangkadu Veeramathi Veethi,Tiled (Ottu),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Rice, Coconut, Banana, Corn, Ground nut, Other crops","Lady's finger ,Bitter gourd Bottle gourd ,Ridge gourd,Brinjal",LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
470,11.34232,77.535839,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Nil,No,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana, Corn, Ground nut","Bitter gourd,Bottle gourd,Lady's finger,Ridge gourd",LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
471,11.347197,77.524072,8,Old Thasamputhur,Tiled (Ottu),Open well,Yes,Panchayat water - Syntex tank,Boiling,Yes,Yes,"Banana, Rice, Other crops, Vegetables","Sugar cane,tomato,brinjal,lady's finger",LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
